,hd-name,folder-name,file-name,video-name
153,LateJuly,pa_sat_70dpf_groupA_n2_20210731,pa_sat_70dpf_groupA_n2_20210731_2021-07-31-143046-0000.raw,pa_sat_70dpf_groupA_n2_20210731_2021-07-31-143046
154,LateJuly,pa_sat_70dpf_groupA_n5_20210731,pa_sat_70dpf_groupA_n5_20210731_2021-07-31-135759-0000.raw,pa_sat_70dpf_groupA_n5_20210731_2021-07-31-135759
155,LateJuly,pa_sat_70dpf_groupB_n2_20210731,pa_sat_70dpf_groupB_n2_20210731_2021-07-31-161215-0000.raw,pa_sat_70dpf_groupB_n2_20210731_2021-07-31-161215
156,LateJuly,pa_sat_70dpf_groupB_n5_20210731,pa_sat_70dpf_groupB_n5_20210731_2021-07-31-153901-0000.raw,pa_sat_70dpf_groupB_n5_20210731_2021-07-31-153901
157,LateJuly,pa_tue_28dpf_groupA_n2_20210817,pa_tue_28dpf_groupA_n2_20210817_2021-08-17-130400-0000.raw,pa_tue_28dpf_groupA_n2_20210817_2021-08-17-130400
158,LateJuly,pa_tue_28dpf_groupA_n5_20210817,pa_tue_28dpf_groupA_n5_20210817_2021-08-17-122701-0000.raw,pa_tue_28dpf_groupA_n5_20210817_2021-08-17-122701
159,LateJuly,pa_tue_70dpf_groupa_n2_20210928,pa_tue_70dpf_groupa_n2_20210928_2021-09-28-154043-0000.raw,pa_tue_70dpf_groupa_n2_20210928_2021-09-28-154043
160,LateJuly,pa_tue_70dpf_groupa_n5_20210928,pa_tue_70dpf_groupa_n5_20210928_2021-09-28-150805-0000.raw,pa_tue_70dpf_groupa_n5_20210928_2021-09-28-150805
161,LateJuly,pa_tue_70dpf_groupb_n5b_20210928,pa_tue_70dpf_groupb_n5b_20210928_2021-09-28-124511-0000.raw,pa_tue_70dpf_groupb_n5b_20210928_2021-09-28-124511
162,LateJuly,pa_tue_70dpf_groupb_n5c_20210928,pa_tue_70dpf_groupb_n5c_20210928_2021-09-28-131831-0000.raw,pa_tue_70dpf_groupb_n5c_20210928_2021-09-28-131831
163,LateJuly,pa_tue_70dpf_groupb_n5d_20210928,pa_tue_70dpf_groupb_n5d_20210928_2021-09-28-135124-0000.raw,pa_tue_70dpf_groupb_n5d_20210928_2021-09-28-135124
164,LateJuly,pa_tue_70dpf_groupb_n5_20210928,pa_tue_70dpf_groupb_n5_20210928_2021-09-28-121236-0000.raw,pa_tue_70dpf_groupb_n5_20210928_2021-09-28-121236
165,LateJuly,pa_tue_70dpf_groupc_n2_20210928,pa_tue_70dpf_groupc_n2_20210928_2021-09-28-161330-0000.raw,pa_tue_70dpf_groupc_n2_20210928_2021-09-28-161330
166,LateJuly,pa_tue_70dpf_groupc_n5_20210928,pa_tue_70dpf_groupc_n5_20210928_2021-09-28-142803-0000.raw,pa_tue_70dpf_groupc_n5_20210928_2021-09-28-142803
167,midMay,sf_wed_42dpf_groupA_n2b_20210519,sf_wed_42dpf_groupA_n2b_20210519_2021-05-19-110830-0000.raw,sf_wed_42dpf_groupA_n2b_20210519_2021-05-19-110830
168,midMay,sf_wed_42dpf_groupA_n2_20210519,sf_wed_42dpf_groupA_n2_20210519_2021-05-19-102921-0000.raw,sf_wed_42dpf_groupA_n2_20210519_2021-05-19-102921
